word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3
laiin,0.0000403,0.0000761,0,0,0.000398397,0.000154798
lcheey,0.000103411,0,0,0,0.000681063,0.000264629
okchy,0,0,0,0,0,0
okaly,0.000100819,0.000228295,0.000189754,0,0,0.0000688
qoaiin,0.0000605,0.000152196,0,0,0.000398397,0.000120398
shal,0.000273171,0,0,0,0,0.000372824
ram,0.000137882,0,0,0,0.000681063,0.000235226
sheeky,0.000206822,0,0.000324386,0,0,0.000176419
ychedy,0.000310234,0.000130091,0,0,0,0.0000882
cho,0,0.000130091,0,0,0.000681063,0.000294032
choty,0.0000605,0.0000761,0.000189754,0,0,0.000120398
chos,0,0.0000761,0.000189754,0,0.000398397,0.000154798
lr,0.000137882,0.000260182,0,0,0,0.000176419
olain,0.000437074,0,0,0,0,0.000186412
orol,0.000275763,0.000130091,0,0,0,0.0000882
qody,0.000172352,0.000260182,0,0,0,0.000147016
qotor,0.0000605,0.000152196,0,0,0.000796793,0.000086
qokaly,0.000120983,0.0000761,0.000189754,0,0,0.0000688
sheal,0.000163903,0,0,0,0,0.000419427
tair,0.0000202,0.0000761,0.000189754,0,0,0.000154798
tal,0.001069256,0,0,0,0,0
chckhedy,0.000172352,0,0.000648772,0,0,0.000117613
arody,0.0000689,0.000130091,0,0,0,0.000235226
chkal,0.0000345,0.000260182,0,0,0,0.000235226
fchedy,0.000100819,0.0000761,0.000189754,0,0,0.0000688
kair,0.0000403,0.0000761,0.000189754,0,0,0.000120398
olkal,0.000327806,0,0,0,0,0.000233015
olshey,0.000437074,0,0,0,0,0.000139809
om,0.0000403,0.000152196,0,0,0.000398397,0.000103199
ory,0.000241293,0.000260182,0,0,0,0.0000588
pchey,0.000141147,0.0000761,0.000189754,0,0,0.0000344
otshedy,0.000273171,0,0,0,0,0.000279618
qokshedy,0.000491709,0,0,0,0,0.0000932
qokeor,0.000206822,0.000130091,0,0,0,0.000117613
qolchey,0.000546343,0,0,0,0,0.0000466
shedal,0.000241293,0.000130091,0,0,0,0.0000882
rchedy,0.000206822,0.000130091,0,0,0,0.000117613
shky,0.0000605,0.000228295,0.000189754,0,0,0.0000688
sy,0.000241293,0,0.000648772,0,0,0.0000588
ytain,0.000327806,0,0,0,0,0.000233015
ypchedy,0,0.000390272,0.001297543,0,0,0.000117613
arol,0.000206822,0.000130091,0,0,0,0.0000882
araiin,0.000163903,0,0,0,0,0.000326221
ckhy,0.0000202,0.000304393,0.000759014,0,0,0.0000172
oaiin,0,0.000412378,0,0,0,0.000372824
olkey,0.000275763,0.000130091,0,0,0,0.0000294
okeeo,0,0,0,0,0,0.000760062
